DATE,RELACBW027SBOG
1984-09-19,365.3707
1984-09-26,365.9115
1984-10-03,365.6458
1984-10-10,366.7732
1984-10-17,367.5111
1984-10-24,367.8221
1984-10-31,369.2691
1984-11-07,370.7218
1984-11-14,371.7519
1984-11-21,372.4869
1984-11-28,373.9040
1984-12-05,374.9220
1984-12-12,375.7925
1984-12-19,376.4493
1984-12-26,377.0742
1985-01-02,376.7429
1985-01-09,377.6931
1985-01-16,378.3817
1985-01-23,379.5600
1985-01-30,380.7420
1985-02-06,381.1811
1985-02-13,382.2096
1985-02-20,383.4438
1985-02-27,384.9180
1985-03-06,386.1243
1985-03-13,387.1292
1985-03-20,386.5191
1985-03-27,386.3719
1985-04-03,390.991
1985-04-10,390.6487
1985-04-17,389.7866
1985-04-24,390.6999
1985-05-01,391.0171
1985-05-08,392.4298
1985-05-15,394.1541
1985-05-22,394.9873
1985-05-29,395.8908
1985-06-05,396.3519
1985-06-12,396.7088
1985-06-19,397.2368
1985-06-26,398.6221
1985-07-03,399.6034
1985-07-10,399.6087
1985-07-17,400.9088
1985-07-24,401.9654
1985-07-31,402.5721
1985-08-07,403.4328
1985-08-14,404.463
1985-08-21,405.5051
1985-08-28,406.6011
1985-09-04,407.3797
1985-09-11,408.8238
1985-09-18,409.3264
1985-09-25,410.9617
1985-10-02,412.1107
1985-10-09,413.1515
1985-10-16,413.874
1985-10-23,414.895
1985-10-30,415.8748
1985-11-06,416.7311
1985-11-13,417.62
1985-11-20,419.221
1985-11-27,419.8163
1985-12-04,420.888
1985-12-11,421.9978
1985-12-18,423.2278
1985-12-25,423.2553
1986-01-01,424.4313
1986-01-08,425.6271
1986-01-15,426.5584
1986-01-22,427.7702
1986-01-29,429.4334
1986-02-05,430.1229
1986-02-12,430.7554
1986-02-19,432.0018
1986-02-26,434.035
1986-03-05,435.0642
1986-03-12,435.8487
1986-03-19,437.1006
1986-03-26,436.7216
1986-04-02,441.216
1986-04-09,441.4963
1986-04-16,441.1357
1986-04-23,442.2357
1986-04-30,443.0688
1986-05-07,444.804
1986-05-14,445.5103
1986-05-21,447.5005
1986-05-28,447.9337
1986-06-04,449.0407
1986-06-11,450.0835
1986-06-18,451.1967
1986-06-25,451.8453
1986-07-02,453.7001
1986-07-09,454.7407
1986-07-16,456.7993
1986-07-23,458.2048
1986-07-30,459.1954
1986-08-06,460.4705
1986-08-13,462.0852
1986-08-20,463.6722
1986-08-27,465.1278
1986-09-03,466.0758
1986-09-10,467.6548
1986-09-17,469.3252
1986-09-24,470.3489
1986-10-01,471.8566
1986-10-08,471.8555
1986-10-15,472.7645
1986-10-22,475.275
1986-10-29,475.3579
1986-11-05,476.4848
1986-11-12,477.6815
1986-11-19,478.8664
1986-11-26,480.7637
1986-12-03,483.5856
1986-12-10,485.9882
1986-12-17,488.4483
1986-12-24,492.7626
1986-12-31,498.9101
1987-01-07,500.3617
1987-01-14,501.9902
1987-01-21,503.4635
1987-01-28,504.5106
1987-02-04,505.8367
1987-02-11,506.9221
1987-02-18,508.6424
1987-02-25,509.4282
1987-03-04,512.7585
1987-03-11,514.1708
1987-03-18,516.4483
1987-03-25,516.4851
1987-04-01,522.1193
1987-04-08,523.5175
1987-04-15,524.2169
1987-04-22,525.2626
1987-04-29,526.2885
1987-05-06,528.5948
1987-05-13,530.3319
1987-05-20,532.7413
1987-05-27,533.717
1987-06-03,536.7718
1987-06-10,537.9079
1987-06-17,543.3346
1987-06-24,543.815
1987-07-01,545.2506
1987-07-08,547.1662
1987-07-15,549.4064
1987-07-22,549.5022
1987-07-29,552.5715
1987-08-05,553.1762
1987-08-12,554.612
1987-08-19,556.3301
1987-08-26,557.9556
1987-09-02,559.4067
1987-09-09,560.8369
1987-09-16,562.4752
1987-09-23,564.2771
1987-09-30,565.8345
1987-10-07,567.5486
1987-10-14,569.7284
1987-10-21,570.8982
1987-10-28,572.4992
1987-11-04,574.1558
1987-11-11,575.4239
1987-11-18,577.4564
1987-11-25,578.78
1987-12-02,581.1602
1987-12-09,582.0264
1987-12-16,585.0968
1987-12-23,587.2846
1987-12-30,588.252
1988-01-06,588.1748
1988-01-13,590.2676
1988-01-20,591.6373
1988-01-27,593.1007
1988-02-03,593.6011
1988-02-10,594.5219
1988-02-17,594.7679
1988-02-24,596.3163
1988-03-02,599.1166
1988-03-09,599.1801
1988-03-16,600.5955
1988-03-23,601.4824
1988-03-30,604.4681
1988-04-06,607.3054
1988-04-13,607.4408
1988-04-20,609.4364
1988-04-27,610.3034
1988-05-04,613.1038
1988-05-11,614.3009
1988-05-18,616.0044
1988-05-25,618.3528
1988-06-01,619.6406
1988-06-08,620.5568
1988-06-15,621.5589
1988-06-22,623.8781
1988-06-29,625.9262
1988-07-06,626.8239
1988-07-13,628.8886
1988-07-20,630.264
1988-07-27,632.1912
1988-08-03,633.1084
1988-08-10,634.8262
1988-08-17,636.8684
1988-08-24,638.5726
1988-08-31,640.8333
1988-09-07,640.6104
1988-09-14,642.3736
1988-09-21,645.2982
1988-09-28,646.9546
1988-10-05,648.8209
1988-10-12,650.3821
1988-10-19,651.5731
1988-10-26,652.3578
1988-11-02,653.0359
1988-11-09,654.9193
1988-11-16,656.2156
1988-11-23,658.1689
1988-11-30,658.9327
1988-12-07,659.4496
1988-12-14,660.6201
1988-12-21,663.2062
1988-12-28,664.901
1989-01-04,671.0853
1989-01-11,674.1924
1989-01-18,676.7388
1989-01-25,678.3211
1989-02-01,679.1184
1989-02-08,680.2748
1989-02-15,682.8251
1989-02-22,684.3016
1989-03-01,685.2518
1989-03-08,685.9814
1989-03-15,687.6553
1989-03-22,688.8745
1989-03-29,691.8135
1989-04-05,695.586
1989-04-12,696.3999
1989-04-19,698.7692
1989-04-26,700.2274
1989-05-03,700.6819
1989-05-10,702.132
1989-05-17,704.3052
1989-05-24,706.0008
1989-05-31,706.7155
1989-06-07,708.8384
1989-06-14,710.5916
1989-06-21,712.9585
1989-06-28,714.1335
1989-07-05,716.7107
1989-07-12,717.8886
1989-07-19,720.9008
1989-07-26,722.8159
1989-08-02,724.5575
1989-08-09,726.9969
1989-08-16,729.6126
1989-08-23,731.8458
1989-08-30,734.3992
1989-09-06,736.7659
1989-09-13,738.1819
1989-09-20,739.5565
1989-09-27,740.6357
1989-10-04,741.3511
1989-10-11,742.5867
1989-10-18,744.3478
1989-10-25,747.0077
1989-11-01,749.2513
1989-11-08,750.0592
1989-11-15,751.4853
1989-11-22,753.7424
1989-11-29,755.3461
1989-12-06,757.3663
1989-12-13,758.868
1989-12-20,760.2209
1989-12-27,761.946
1990-01-03,760.932
1990-01-10,763.2121
1990-01-17,764.8391
1990-01-24,768.084
1990-01-31,768.7242
1990-02-07,771.797
1990-02-14,773.5443
1990-02-21,775.9876
1990-02-28,777.497
1990-03-07,778.2601
1990-03-14,780.8565
1990-03-21,782.3225
1990-03-28,783.7283
1990-04-04,785.2458
1990-04-11,786.8687
1990-04-18,788.3116
1990-04-25,790.6548
1990-05-02,792.0761
1990-05-09,794.2978
1990-05-16,796.1713
1990-05-23,800.2599
1990-05-30,801.7215
1990-06-06,802.8272
1990-06-13,803.8028
1990-06-20,806.0854
1990-06-27,807.7997
1990-07-04,809.4268
1990-07-11,812.2389
1990-07-18,814.5471
1990-07-25,815.8305
1990-08-01,817.9156
1990-08-08,818.7305
1990-08-15,818.975
1990-08-22,819.7875
1990-08-29,819.5838
1990-09-05,819.9295
1990-09-12,822.143
1990-09-19,823.6321
1990-09-26,824.7334
1990-10-03,825.4924
1990-10-10,827.1954
1990-10-17,829.1108
1990-10-24,830.5048
1990-10-31,831.014
1990-11-07,832.7675
1990-11-14,833.2405
1990-11-21,835.53
1990-11-28,834.8164
1990-12-05,838.7505
1990-12-12,839.0466
1990-12-19,844.0307
1990-12-26,843.7936
1991-01-02,841.9808
1991-01-09,844.418
1991-01-16,846.1764
1991-01-23,847.9021
1991-01-30,848.4861
1991-02-06,849.2487
1991-02-13,849.7279
1991-02-20,852.8456
1991-02-27,854.5664
1991-03-06,855.1927
1991-03-13,856.7375
1991-03-20,858.2529
1991-03-27,858.2465
1991-04-03,858.6494
1991-04-10,859.987
1991-04-17,859.996
1991-04-24,861.9782
1991-05-01,861.4335
1991-05-08,861.6752
1991-05-15,860.9114
1991-05-22,862.6396
1991-05-29,863.7562
1991-06-05,865.6713
1991-06-12,865.7322
1991-06-19,866.1839
1991-06-26,866.0763
1991-07-03,865.5461
1991-07-10,866.2039
1991-07-17,863.9141
1991-07-24,864.809
1991-07-31,862.616
1991-08-07,862.8222
1991-08-14,863.6259
1991-08-21,864.2736
1991-08-28,863.9243
1991-09-04,864.4306
1991-09-11,864.8723
1991-09-18,863.7268
1991-09-25,864.0144
1991-10-02,864.57
1991-10-09,864.9047
1991-10-16,864.8736
1991-10-23,866.4788
1991-10-30,866.9218
1991-11-06,866.4132
1991-11-13,866.7737
1991-11-20,867.9843
1991-11-27,867.4549
1991-12-04,867.1663
1991-12-11,867.3667
1991-12-18,867.7622
1991-12-25,868.4157
1992-01-01,869.6827
1992-01-08,869.8435
1992-01-15,869.4107
1992-01-22,870.8131
1992-01-29,873.0959
1992-02-05,873.8535
1992-02-12,873.7487
1992-02-19,873.4505
1992-02-26,873.0202
1992-03-04,872.9154
1992-03-11,874.2208
1992-03-18,873.4693
1992-03-25,872.9991
1992-04-01,879.8581
1992-04-08,879.8573
1992-04-15,881.4022
1992-04-22,881.1168
1992-04-29,882.1392
1992-05-06,883.0357
1992-05-13,883.0952
1992-05-20,882.4662
1992-05-27,879.7381
1992-06-03,879.7895
1992-06-10,880.605
1992-06-17,879.5221
1992-06-24,878.41
1992-07-01,878.7813
1992-07-08,878.4371
1992-07-15,877.5899
1992-07-22,878.3847
1992-07-29,879.5348
1992-08-05,880.2612
1992-08-12,879.7165
1992-08-19,879.4016
1992-08-26,880.3717
1992-09-02,881.8085
1992-09-09,882.3191
1992-09-16,882.4026
1992-09-23,883.3539
1992-09-30,883.8206
1992-10-07,885.5135
1992-10-14,884.8934
1992-10-21,885.056
1992-10-28,886.7911
1992-11-04,887.5208
1992-11-11,888.3269
1992-11-18,886.9271
1992-11-25,886.5928
1992-12-02,885.9236
1992-12-09,887.953
1992-12-16,888.2188
1992-12-23,888.1103
1992-12-30,887.7561
1993-01-06,885.717
1993-01-13,887.243
1993-01-20,886.2133
1993-01-27,885.1749
