date,EX_g,G_g,GDP_g,I_g,IM_g,C_g,RELoansPctGDP
1974-01,0.11775163125917976,0.006492517532324937,0.006387757282945605,-0.01881332918224421,-0.08087339201083277,-0.008871707732950096,0.02065237316976575
1975-01,0.025278508779802866,0.022856682925258776,-0.022990596636949356,-0.20292610348817985,-0.07847470320307415,0.0015090605864489515,0.02339270921726065
1976-01,0.0014742031949241952,0.020522850800932968,0.061523864866092515,0.17831587680182515,0.11540946696686682,0.0628136608930514,0.022871466168605147
1977-01,0.033080535246626575,-0.006248137864924397,0.03225978436200028,0.09969977642925576,0.1749175114588155,0.045234607690361806,0.024442840144262002
1978-01,0.025384146754213743,0.01104411313760334,0.041170696113854044,0.11907149892024238,0.07699873435093552,0.035976699273988055,0.027810965638517923
1979-01,0.16158898864536586,0.033541545666526895,0.06509898984026496,0.12318604036878411,0.027439348138499353,0.039299112048913676,0.03125598685465452
1980-01,0.13485358680363135,0.03432362015851087,0.014207812865719038,-0.04174873736077056,0.01232662454438338,0.010140005369654759,0.03549909976262281
1981-01,0.02952886031068802,0.001326672023129083,0.015999816310917625,0.020701939018391347,-0.054498305223179555,0.004908071833263916,0.03784691383757289
1982-01,-0.054396653411647344,0.010036082406227997,-0.02190342306840798,-0.11548395767404651,-0.010725983515099236,0.00517650430452643,0.04188956740650825
1983-01,-0.06789883718836742,0.0373218277951195,0.014314605795718416,-0.05479749628752084,0.011514159238372512,0.037616579111800164,0.04361121880216083
1984-01,0.06023178807947027,0.01992630551515262,0.08578274046508594,0.3919067246372441,0.315618840253032,0.06396848992281945,0.04433914876063207
1985-01,0.071642358183162,0.06307339634196407,0.04555112929721106,0.012634346511141148,0.07592747183044679,0.05234425129500164,0.04815069105052538
1986-01,0.0443540454882152,0.05809521645726523,0.04145523524500194,0.047021778780056867,0.07856865757861686,0.03957799776620807,0.05208638830484195
1987-01,0.07348297048030528,0.0448630560225145,0.02716134287067362,-0.015146731568668304,0.07342958292889024,0.036123085330468374,0.05978087032985938
